iter	Passed	Remaining
417	2845	3961
418	2851	3954
419	2857	3946
420	2863	3938
421	2869	3930
422	2876	3923
423	2883	3917
424	2890	3911
425	2897	3903
426	2903	3896
427	2909	3888
428	2915	3881
429	2922	3874
430	2929	3867
431	2936	3860
432	2942	3853
433	2948	3845
434	2955	3838
435	2961	3831
436	2971	3828
437	2979	3823
438	2987	3817
439	2994	3811
440	3001	3804
441	3008	3797
442	3015	3791
443	3022	3784
444	3029	3778
445	3036	3771
446	3044	3766
447	3051	3759
448	3058	3753
449	3065	3746
450	3072	3740
451	3079	3733
452	3086	3727
453	3093	3720
454	3100	3713
455	3107	3707
456	3114	3700
457	3121	3693
458	3128	3687
459	3135	3680
460	3142	3673
461	3150	3669
462	3158	3663
463	3165	3656
464	3173	3651
465	3180	3644
466	3188	3639
467	3195	3632
468	3202	3626
469	3209	3619
470	3216	3612
471	3223	3605
472	3229	3598
473	3236	3591
474	3243	3584
475	3250	3578
476	3258	3572
477	3265	3565
478	3272	3559
479	3280	3553
480	3288	3548
481	3295	3541
482	3302	3535
483	3310	3528
484	3317	3522
485	3323	3515
486	3330	3508
487	3336	3500
488	3343	3494
489	3350	3487
490	3357	3480
491	3363	3473
492	3370	3466
493	3378	3460
494	3385	3453
495	3392	3447
496	3398	3440
497	3406	3434
498	3413	3426
499	3419	3419
500	3426	3412
501	3433	3406
502	3439	3398
503	3446	3391
504	3452	3384
505	3459	3376
506	3465	3369
507	3471	3362
508	3478	3355
509	3484	3348
510	3491	3340
511	3496	3332
512	3503	3325
513	3510	3319
514	3516	3311
515	3523	3305
516	3529	3297
517	3535	3290
518	3543	3284
519	3552	3278
520	3558	3271
521	3565	3264
522	3571	3257
523	3578	3250
524	3585	3243
525	3591	3236
526	3597	3229
527	3605	3222
528	3612	3216
529	3619	3209
530	3625	3202
531	3632	3195
532	3638	3188
533	3645	3181
534	3652	3174
535	3658	3167
536	3664	3159
537	3670	3152
538	3677	3145
539	3683	3138
540	3690	3130
541	3696	3123
542	3702	3115
543	3707	3108
544	3713	3100
545	3720	3093
546	3726	3086
547	3732	3079
548	3739	3072
549	3746	3065
550	3753	3058
551	3760	3052
552	3767	3045
553	3774	3038
554	3780	3031
555	3787	3024
556	3794	3017
557	3800	3010
558	3806	3002
559	3812	2995
560	3818	2988
561	3826	2981
562	3832	2975
563	3840	2969
564	3848	2962
565	3857	2957
566	3865	2951
567	3872	2945
568	3880	2939
569	3887	2932
570	3894	2926
571	3901	2919
572	3908	2912
573	3915	2905
574	3923	2899
575	3931	2894
576	3939	2888
577	3947	2881
578	3954	2875
579	3962	2869
580	3970	2863
581	3976	2856
582	3984	2849
583	3990	2842
584	3997	2835
585	4004	2829
586	4011	2822
587	4018	2815
588	4026	2809
589	4033	2803
590	4041	2797
591	4049	2791
592	4058	2785
593	4066	2779
594	4075	2774
595	4083	2768
596	4091	2761
597	4099	2756
598	4108	2750
599	4116	2744
600	4124	2738
601	4132	2732
602	4140	2725
603	4147	2719
604	4155	2713
605	4162	2706
606	4169	2699
607	4177	2693
608	4185	2687
609	4192	2680
610	4200	2674
611	4208	2668
612	4217	2662
613	4225	2656
614	4232	2649
615	4239	2642
616	4247	2636
617	4254	2629
618	4262	2623
619	4270	2617
620	4278	2611
621	4286	2604
622	4293	2598
